전시회명,개최기간,개최국,개최도시,개최장소(베뉴),축제URL,축제소개
Trade Drinks Expo,29. - 30. September 2026,United Kingdom of Great Britain and Northern Ireland,London,ExCeL London,www.tradedrinksshow.co.uk,"The Trade Drinks Expo, formerly known as the International Drink Expo (I.D.E), is the ultimate beverage event. The expo has established itself as the leading industry event in the UK, particularly when it comes to maximizing beverage sales. Organized by Fortem Food and Drink Ltd, the expo showcases their expertise in the beverage industry and impresses with a unique blend of networking, education, and inspiration. It's not just about the beverages; the spotlight is also on the tools and innovations that hospitality and retail professionals can utilize to maximize their sales and enhance their ROI. The expo takes place annually in either October or November at the stunning ExCeL London, one of the UK's premier exhibition centers. Over two days, attendees have the opportunity to meet providers of the world's most innovative beverage solutions. Additionally, the expo offers specialist seminars, panel discussions led by industry leaders, and the chance to experience brand-new beverage trends firsthand. The primary focus of the expo is to introduce promising products and services from the beverage sector. Exhibitors come from various segments of the industry, ranging from breweries to spirits manufacturers and innovative beverage start-ups. The Trade Drinks Expo primarily attracts hospitality and retail professionals looking for ways to optimize their beverage sales. The event is a part of the Hospitality B2B portfolio, which is linked to other exhibitions in similar sectors, thereby creating synergies for attendees. ExCeL London, where the expo is held, is one of Europe's most modern exhibition and conference centers. It is conveniently located and easily accessible by public transport and by car. In conclusion, the Trade Drinks Expo is a must-attend for anyone active in the beverage industry and seeking the latest trends, products, and business opportunities."
GENUSSWELTEN,16. - 18. October 2026,Austria,Vienna,Palais Auersperg,genusswelten.at,"The ""GENUSSWELTEN""in Vienna is more than just a fair – it is an annual celebration for everyone who appreciates fine food and quality beverages. Twice a year, ""Genusswelten"" presents a unique combination of trade fair and public exhibition, making this culinary event appealing to gourmets and industry professionals as well as interested food lovers who want to discover, experience, and taste exquisite specialties. With carefully selected exhibitors, the fair provides an exclusive opportunity to explore both regional and international delights. From fine cheeses, freshly baked bread, and artisan pastries to rare teas, select spices, refined condiments, and exquisite wines, beers, and spirits – connoisseurs will find a feast for the senses. Direct encounters between producers and visitors foster trust and offer authentic insights into the origins, quality, and craftsmanship behind the products. A varied supporting program enhances the experience: live cooking shows reveal the art of culinary craftsmanship, interactive workshops deepen knowledge about preparation and taste, and exclusive tastings invite visitors to discover and indulge. Seasonal theme worlds add variety and give each edition its own distinctive character. GENUSSWELTEN is the meeting place for all who wish to experience food and drink with all their senses – informative, delightful, and authentic."
Wine & Spirits,21. - 22. October 2026,Ukraine,Kiev,IEC - International Exhibition Center,wineandspirits.com.ua,"The ""WINE & SPIRITS Ukraine"", which takes place annually has established itself as one of the most significant events in the Ukrainian wine and alcohol industry. Organized by the event planner VIA Group Ltd., this fair offers a unique platform for a diverse spectrum of stakeholders in the industry – including manufacturers of wines and spirits, retailers, sommeliers, restaurateurs, importers, and traders from Ukraine and the international space alike. In the culturally and historically rich Kiev, more precisely at the International Exhibition Centre (IEC), ""WINE & SPIRITS Ukraine"" provides the ideal backdrop for productive business communication and networking. The IEC impresses with its modern infrastructure and its easy accessibility via various modes of transportation, ensuring effortless travel for all participants. The exhibition center combines traditional charm with modern amenities, reflecting the dynamic development of the city and ensuring that all the prerequisites for a successful event are met. The main topics of the fair revolve around wine and spirits and extend from the presentation of new products to lectures and tasting sessions. It serves as a representative stage for products and services in the field of wine and spirits production, distribution, and sales, promoting Ukrainian products as well as international brands alike. A particular highlight of the fair is the international tasting competition ""Ukraine Wine & Spirits Awards"", which offers a stage to wines and spirits from all over the world and honors quality and innovation in this industry. The program is complemented by the WINE&SPIRITS Congress, which gives professionals from different areas the opportunity to deepen their knowledge, discuss trends, and develop forward-looking ideas. Exhibitors, coming from various sectors of the alcoholic beverage industry, have the opportunity to present their products and services to a wide, qualified audience, primarily composed of professionals from gastronomy, retailers, and experts from the wine and spirits segment. Although ""WINE & SPIRITS Ukraine"" is an independent event, it takes place parallel to 'WorldFood Ukraine', one of the leading international exhibitions for food and beverages, thereby creating a synergy that makes both events a must for industry insiders. In conclusion, it can be stated that ""WINE & SPIRITS Ukraine"" is not just a fair but a significant event that connects business people and lovers of the wine and spirits world, expands knowledge, and thus enriches the industry in Ukraine and beyond. Located in the picturesque and lively city of Kiev, the event combines local tradition with international expertise and thereby represents a relevant date in the global calendar of the wine and spirits industry."
Expo Cerveza México,23. - 25. October 2026,Mexico,Mexico City,World Trade Center Mexico (WTC),www.cervezamexico.com/cdmx,"Expo Cerveza México is the leading trade fair in Mexico dedicated to craft and specialty beer. It offers a unique platform that brings together brewing expertise, entrepreneurship, innovation, and community. Over the years, the event has become a key reference point in both the Mexican and international beer scenes—appealing to hobby brewers, established producers, raw material suppliers, and distribution professionals alike. The event takes place at the centrally located World Trade Center (WTC) in Mexico City, known for its excellent accessibility and modern infrastructure. It is organized by Tradex Exposiciones, a seasoned company specializing in industry-focused trade shows. Expo Cerveza México is more than a product showcase; it is an active networking and knowledge-sharing forum. Its core themes include the production, commercialization, and marketing of craft and specialty beers. Exhibitors present every element of the brewing process—from high-quality raw materials such as malt, hops, and yeast, to state-of-the-art brewing systems, bottling lines, and labeling equipment. As such, the fair offers significant value to both startups entering the brewing sector and established breweries seeking to enhance their operations. A key feature of the event is the professional congress Mexicanos, Hagamos Cerveza (""Mexicans, Let’s Brew Beer""). This program combines hands-on workshops and presentations on essential brewing topics—such as water, yeast, hops, and malt—with business-oriented sessions on marketing, sales, legal frameworks, and management. The congress is complemented by the Beer Talks , which provide free access to presentations on the latest industry trends, product innovations, and technological advancements. A standout experience is offered by the tasting salon Salón de Catas , where guests can refine their sensory perception through guided tastings—an engaging opportunity for both industry professionals and beer enthusiasts. A major highlight for many breweries is the prestigious Copa Cerveza , a competition that recognizes outstanding beers across various categories and brewery sizes. Award-winning beers are clearly marked at exhibitor booths, turning the fair into a curated discovery journey for visitors. The Matchmaker program fosters targeted business connections among producers, suppliers, and distributors. It provides an ideal environment for B2B interactions in hospitality, retail, import/export, technical services, and related sectors. Expo Cerveza México is not part of an international trade fair series but rather a standalone national event with global appeal. It reflects the cultural richness of Mexico and sends a strong message of inclusion, respect, and community—regardless of origin, gender, or identity. The World Trade Center in Mexico City is easily accessible by public transportation, taxi, or car and offers modern exhibition spaces along with a range of amenities for both exhibitors and visitors. Expo Cerveza México is more than just a trade show—it is the vibrant heart of a growing beer culture that extends far beyond the borders of Mexico."
Whisk(e)ysalon & Spirits,30. - 31. October 2026,Germany,Augsburg,Kongress am Park,whiskysalonandspirits.de/augsburg,"The Augsburg Whisk(e)y Salon & Spirits, typically held annually in October or November, presents a sustainable and exclusive forum for the bar and spirits culture. Founded and initiated by Dr. M. Mayer of ""Messen & Ausstellungen"", the event has established itself as a must-attend for all aficionados of fine spirits. The event takes place at the renowned Augsburg Congress Hall, a venue that impresses both with its architecture and its rich history. The fair distinguishes itself with a careful selection of handpicked exhibitors that change each year. Here, exclusivity, advice, and pleasure are always at the forefront. The event not only offers visitors the opportunity to engage with professionals from production, trade, and distribution but also to discover current trends, news from the bar scene, and exclusive products – from rare whisk(e)ys to gin and tonics and craft beers. While esteemed names in the spirits industry undoubtedly draw many visitors, it's also the presence of local suppliers with sustainable products and innovative ideas that captivate the audience year after year. A special highlight of the fair are the seminars and tastings on offer. These specialized events, which can be booked in advance, provide participants with deep insights into the world of spirits. For those who appreciate the enjoyment of cigars, a smoking lounge is available. Additionally, visitors can look forward to a diverse range of food trucks, setting culinary highlights. Both attractions are located outdoors on the spacious terrace of the Congress Hall. Another annual highlight is the interactive special exhibition, always full of surprises. In conclusion, the Augsburg Whisk(e)y Salon & Spirits is a unique experience – a place where spirit enthusiasts gather to discover new things, exchange ideas, and savor together."
JFEX JAPAN INT’L FOOD & BEVERAGE EXPO,11. - 13. November 2026,Japan,Tokyo,Tokyo Big Sight,www.jfex.jp/hub/en-gb.html,"The ""JFEX Summer JAPAN INT'L FOOD & BEVERAGE EXPO"", an international fair in Tokyo, is dedicated to showcasing food and beverages from around the world. ""JFEX"", short for ""Japan Food Expo"", reflects the event's focus on the food industry. This trade fair takes place twice a year at Tokyo Big Sight, one of Japan's leading exhibition centers. It is organized by RX Japan Ltd., a company known for its extensive experience and expertise in organizing international exhibitions. JFEX is divided into four main areas: JFEX FOOD, focusing on frozen foods, ready-to-eat meals, agricultural and seafood products, confectionery, and spices; JFEX WINE and SPIRITS, presenting alcoholic beverages such as wine, beer, whisky, liqueurs, sake, and shochu; JFEX MEAT and DAIRY, specializing in meat and dairy products; and JFEX PREMIUM, showcasing luxury food items, confectionery, agricultural products, and both alcoholic and non-alcoholic beverages. The fair offers an excellent platform for exploring the diversity and innovations of the global food and beverage industry, particularly from Japan. It provides insights into current trends and serves as a meeting point for business contacts and networking. Exhibitors range from food and beverage manufacturers to agricultural companies and providers of packaging and processing technologies. The main visitors include professionals from the food industry, retailers and wholesalers, importers, exporters, and restaurateurs. JFEX is not only a central meeting point for professionals but also reflects the local culture and gastronomy. Tokyo, the venue, is known for its culinary diversity and its role as a trade and industrial center. As part of a global series of fairs representing the food and beverage industry, JFEX plays a significant role in the sector. Tokyo Big Sight in Tokyo stands out for its strategically advantageous location and excellent accessibility. It is an ideal place for international exhibitions and boasts an excellent infrastructure that is easily accessible by both public transport and car, facilitating participation for international visitors and exhibitors."
ProWine,18. - 19. November 2026,India,Mumbai,Jio World Convention Centre,www.prowein-world.com/en/ProWine_Mumbai,"ProWine in Mumbai is an annual trade fair that has established itself as a key platform for the wine and spirits industry in India. Since its debut in 2021, it has become an important meeting point for professionals from the beverage trade, gastronomy, hospitality, as well as for sommeliers, wine clubs, and importers. The event is exclusively open to trade visitors and offers a carefully curated environment for business development, education, and sensory experiences. As part of the renowned ProWein trade fair series—with locations in Düsseldorf, Shanghai, Hong Kong, São Paulo, Singapore, and Tokyo—ProWine Mumbai benefits from a globally proven concept tailored to the specific needs of the Indian market. It is organized by Messe Düsseldorf India Pvt. Ltd. in collaboration with All Things Nice, a leading company in wine events and culture in India. Hosted at the Jio World Convention Centre (JWCC), the event underscores its commitment to quality and professionalism. This state-of-the-art venue, located in the heart of Mumbai, ranks among the most advanced event spaces in the country and offers ideal conditions for a premium trade fair. Mumbai’s proximity to the emerging wine region of Nashik, the craft spirits hub of Goa, and the major port of Nhava Sheva further enhances its role as a key logistics center for the import and distribution of wines and spirits. ProWine Mumbai combines an international exhibition with a high-quality supporting program and targeted tasting experiences. The “Tasting Room” provides an exclusive setting for professional tastings and fosters dialogue on flavors, quality, and industry trends. A particular highlight is the “Wine and Food Pairing” program, which presents creative combinations of wine and Indian cuisine—from fine dining to authentic street food. At the ProWine Mumbai Forum, national and international industry experts share insights through lectures, panel discussions, and masterclasses. Topics include current developments, global market trends, and local challenges. Alongside wine, spirits and craft beer are gaining increasing importance, broadening the product range of the fair. This offering is further complemented by modern wine technologies, distribution solutions, branding strategies, and concepts for gastronomy and bar operations. With its depth of content, international orientation, and strategic integration into the Indian market, ProWine Mumbai represents the entire value chain of the industry—placing a strong focus on taste, education, and business growth."
Finest Spirits,22. - 24. January 2027,Germany,Munich,Zenith,finest-spirits.de,"The "" Finest Spirits Festival "" in Munich is an annual, prestigious event organized by Meininger Verlag GmbH, specializing in the world of high-quality spirits. It is held at the Zenith Cultural Hall, which impresses not only with its stunning architecture but also with its accessibility—making it an ideal venue for a festival of this magnitude. Finest Spirits serves as a platform for a wide range of premium spirits, including whisky, gin, rum, tequila, fruit brandy, and cognac. Both established manufacturers and innovative startups showcase their latest creations and products here. The festival provides a unique opportunity for producers, traders, and importers from around the world to present their exclusive spirits to an enthusiastic audience. A key aspect of the fair is education. Through the offered masterclasses and sensory seminars, both newcomers and experienced spirit connoisseurs can gain in-depth insights into the production and tasting of various spirits. These educational offerings make the festival a valuable experience hub where visitors can expand their knowledge and sharpen their senses. With about 4,500 visitors annually, the event attracts a diverse audience, including professionals from the gastronomy and trade sectors as well as passionate bartenders and spirit enthusiasts. Finest Spirits is not just a festival, but also a cultural event that celebrates the tradition and innovation of the spirits industry, deeply rooted in Munich's and Germany's cultural landscapes. Whether for direct purchase or pre-ordering, the fair offers the chance to discover new favorite spirits and directly engage with the producers. In conclusion, the ""Finest Spirits Festival"" stands out not only for its diverse offerings but also for its excellent location in the Zenith Cultural Hall, which is easily accessible by public transport. This makes it a must-visit for anyone wanting to experience the fascinating world of fine spirits."
HANSE SPIRIT,12. - 13. February 2027,Germany,Hamburg,Messe Hamburg,www.hanse-spirit.de,"The HANSE SPIRIT is an annual spirits fair that has been held in Hamburg , a city known as the 'Gateway to the World,' since its inception in 2011. This consumer trade show, typically taking place towards the end of January, has become a significant meeting point for spirits enthusiasts, retailers, as well as professionals from the catering and hospitality industries. The main focus of HANSE SPIRIT is on the presentation and tasting of high-quality spirits. Visitors have the opportunity to stroll from booth to booth, sampling and purchasing a variety of fine spirits such as whiskey, rum, cognac, fruit brandies, gin, liqueurs, and other specialties. The fair offers not just a chance to discover and acquire exquisite products, but also the opportunity to participate in guided tastings and receive advice from experts. Another highlight of HANSE SPIRIT is the seminars offered, where visitors can delve deeper into the subject matter and expand their knowledge about different spirits. These seminars also provide a platform for exchanging experiences and expertise. The trade fair takes place in the Hamburg Exhibition Center, which is characterized by its modern architecture and central location in Hamburg. This venue provides the ideal setting for the sophisticated and diverse offerings of Hanse Spirit. Thus, the fair is not just a place to discover exquisite spirits, but also a platform for networking and establishing business relationships in the industry. In summary, HANSE SPIRIT is a fair that annually brings together spirit-loving consumers, professionals, and industry experts, immersing them in the world of fine spirits and offering an unforgettable experience in the realm of spirits."
WEIN & GENUSS,12. - 13. February 2027,Austria,Linz,Design Center,www.vinaria.at/weingenusslinz,"The WEIN & GENUSS Linz is an annual event held at the Design Center Linz, marking the beginning of the wine year in Austria. Organized by Vinaria, Austria's leading wine magazine published by LWmedia GmbH & Co. KG, the fair has become an important meeting place for wine enthusiasts and connoisseurs of fine dining over the years. The fair focuses on the finest wines and vintners, from all Austrian wine regions as well as international vineyards. WEIN & GENUSS Linz offers a unique platform where visitors can taste exquisite wines and discover a variety of high-quality foods. From delicious regional products to international specialties, the fair presents a wide range of culinary experiences. Visitors can taste not only new wine vintages but also beer, cider, and bacon from Upper Austria, gourmet meatloaf, wild products from the Waldviertel, fresh crêpes, Kaiserschmarren with apricot compote, and various fine spirits. Another highlight of the fair is the commented Masterclasses, specially offered in the new studio of the Design Center Linz for those interested. These provide an excellent opportunity to deepen one's knowledge and learn directly from experts. The Design Center Linz, as the venue, emphasizes the exclusivity of this event with its modern architecture and flexible room concepts. The available parking options, both outdoor and in the underground garage at the fair site, ensure convenient access for visitors. WEIN & GENUSS Linz stands out for its unique combination of high-quality products, expert presentations, and a welcoming atmosphere. It is not just a fair, but a festival of the senses, becoming a memorable experience for wine and gourmet lovers each year."
