전시회명,개최기간,개최국,개최도시,개최장소(베뉴),축제URL,축제소개
Morocco FoodExpo,22. - 24. September 2026,Morocco,Casablanca,Foire Internationale De Casablanca / OFEC Expo Center,siemamaroc.com,"Established in 2013, FoodExpo Morocco is an internationally renowned trade fair held annually at the Foire Internationale De Casablanca / OFEC Expo Center in Casablanca, Morocco, with Elan Expo as the organizer. It focuses on a variety of main themes such as agricultural products, food, and food technologies. The broad range of products and services displayed include food processing, packaging machines, beverage technology, diverse types, and states of food, agricultural technologies, gastronomy products, and much more. This event presents an extraordinary opportunity for buyers and decision-makers from across the Middle East to network and offers exhibitors access to the rapidly growing African market. FoodExpo Morocco runs concurrently with Morocco Siema Expo, an international exhibition for food, packaging, and machines, and establishes itself as the premier trade and communication platform for the industry in the region. The fair has a close connection to the host country as it acts as a gateway to the African market, enabling exhibitors to tap into the various and dynamic markets of the region. The main visitors to the fair are distributors, wholesalers, food factory owners, hoteliers, restaurateurs, caterers, farmers, and numerous other professionals from related sectors. Importers and manufacturers of alcoholic and non-alcoholic beverages, as well as food retailers and manufacturers, are also prominently represented. The exhibitors primarily come from the fields of food production, agricultural technology, and gastronomy products. In conclusion, Casablanca, with its Foire Internationale De Casablanca / OFEC Expo Center, offers an excellent and easily accessible venue. The city has a well-developed infrastructure, providing numerous conveniences to visitors and exhibitors. Casablanca itself is a vibrant city with a rich history and culture, offering additional exploration and discovery opportunities for visitors."
Retail Show Australia,22. - 24. September 2026,Australia,Melbourne,MCEC - Melbourne Convention and Exhibition Center,www.retail-show.com.au,"The Retail Show Australia is one of the leading trade fairs for the retail sector in the Asia-Pacific region and takes place annually at the renowned Melbourne Convention and Exhibition Centre (MCEC). It is organized by Hisern International Pty Ltd., a seasoned event organiser with extensive experience in staging international trade fairs focused on technology-driven and market-oriented themes. The exhibition brings together key aspects of modern retailing – from smart technologies and fresh produce logistics to sustainable consumer trends, innovative store design, and e-commerce logistics solutions. Its audience extends beyond retailers to include buyers, store fitters, technology providers, logistics companies, food distributors, franchisors, restaurateurs, as well as decision-makers from government and urban planning. Attendees gain a comprehensive overview of the current retail infrastructure, with a focus on integrating physical shopping experiences with digital, automated, and environmentally conscious solutions. At the heart of the exhibition are the latest innovations in store equipment, such as intelligent shelving systems, modular display units for fresh produce, advanced shopping trolleys, and automated checkout zones. The food service and fresh produce processing area showcases state-of-the-art kitchen equipment, ice machines, cold chain solutions, and pre-cooling accessories. A particularly strong presence is seen in the Retail Technology segment, featuring cutting-edge POS systems, electronic shelf labels (ESL), RFID solutions, robotics, self-service terminals, and smart display units. A key highlight of Retail Show Australia is its dedicated focus on Fresh Produce & Cold Chain, where visitors can explore every aspect of fresh goods logistics – from refrigeration technologies and air management to efficient defrosting systems. In the E-Commerce & Logistics sector, attention is given to CRM software, parcel management systems, and digital supply chain platforms. The exhibition also addresses forward-looking topics such as outdoor consumer lifestyles, sustainable living, and future-oriented mobility and housing concepts. The Retail Show Australia sees itself as an integral part of Australia’s innovation strategy. Owing to its geographical location, the country holds a strategic position within the Asia-Pacific region. Melbourne as the host city reinforces this role – a metropolis renowned for its progressive urban development, creative economy, and high quality of life. As a vibrant retail hub, it offers an ideal setting for international industry dialogue. Complementing the exhibition are expert talks, conferences, live demonstrations, and networking events, providing industry professionals with practical insights and new inspiration. The MCEC is easily accessible from both the airport and the city centre – by train, tram, or taxi. Its scenic riverside location along the Yarra, combined with close proximity to hotels, restaurants, and Melbourne’s cultural attractions, makes it an appealing destination for international visitors. The Retail Show Australia is more than just a trade fair – it is a platform for innovation, a meeting point for key decision-makers, and a catalyst for the future of retail."
POLAGRA,23. - 25. September 2026,Poland,Poznań,Poznan International Fair Grounds,polagra.pl,"The POLAGRA Fair, a leading annual event in the food industry, takes place at the Poznan International Fair Grounds in Poznań, Poland. Organized by mtp GRUPA, it encompasses three main sectors: FOOD, FOODTECH, and HORECA. These segments offer a diverse array of products and services, ranging from everyday food items to advanced technologies for food processing and equipment for the gastronomy and hospitality industries. As a significant cultural event, POLAGRA provides an excellent platform for business development and networking, deeply rooted in Polish hospitality. It plays a central role in promoting the Polish food industry and showcasing global trends and innovations. In the FOOD ZONE, visitors will find a comprehensive selection of fresh and processed foods, including meats, fish, dairy products, and a variety of grain products, complemented by organic and eco-friendly products. The HORECA ZONE focuses on equipment and services for the hospitality industry, offering state-of-the-art kitchen technology and complete solutions for hotels and restaurants. The FOODTECH ZONE features advanced machinery and technological equipment specifically developed for the needs of the food processing industry, from packaging systems to quality assurance devices. Highlights of the fair include the Polish Culinary Cup, a prestigious competition that honors the culinary skills of Poland's finest chefs, and the Acanthus Aureus competition, which recognizes outstanding architectural and graphic design in exhibition stands. Both competitions highlight the creativity and dedication of the participants and set new standards in the industry. The fair attracts thousands of professionals from various fields, including gastronomes, hotel managers, chefs, and technology experts. The venue is ideally located and easily accessible via international transport links. In Poznań's dynamic atmosphere, POLAGRA offers every visitor an inspiring experience, marked by a comprehensive and specific presentation of the food industry."
Cafe Show Vietnam,08. - 10. October 2026,Vietnam,Hanoi,VEC - Vietnam Exhibition Center,www.cafeshow.com.vn,"The Cafe Show Vietnam in Hanoi is an international trade fair for the coffee and hospitality industry. It is held annually at the Vietnam Exposition Center VEC in Hanoi. As a central platform, this event facilitates intensive exchange between producers, importers, and professionals from related industries. It serves to present the latest trends and products and has established itself as a major event in the industry. The fair is organized by Exporum Vietnam Company Ltd. The fair attracts exhibitors from various sectors, including coffee and tea suppliers, bakery and dessert producers, manufacturers of kitchen appliances and interior furniture, as well as providers of mobile payment solutions and packaging technologies. Food ingredients and ice cream, as well as franchising services and startups, are also represented. A highlight of the fair are the numerous competitions and seminars. The Vietnam National Latte Art Championship, the Vietnam National Brewers Cup, and the Vietnam National Barista Championship are just a few examples that showcase the skills and creativity of baristas. The Cafe Show in Hanoi plays an important role in the local economy by promoting coffee culture and the hospitality sector in Vietnam. It helps integrate international standards and innovations into the country's dynamically growing café scene and provides an ideal environment for networking and business development. This trade fair is part of a global series of Cafe Show trade fairs, which also take place in South Korea and China and have established themselves as important events for the coffee industry worldwide. Participation in the show offers an excellent opportunity to experience the dynamic and vibrant atmosphere of Hanoi while making important industry contacts and gaining insights into current market developments."
Café & Brasserie Expo Indonesia,09. - 11. October 2026,Indonesia,Jakarta,JIExpo Jakarta International Expo,cafebrasserieexpo.com,"The Café & Brasserie Expo Indonesia is recognized as the leading trade fair for coffee, tea, chocolate, wine, and culinary innovation in Indonesia and Southeast Asia. The event is organized by Reed Panorama Exhibitions , a seasoned provider of high-quality B2B trade shows in the region. The Café & Brasserie Expo Indonesia brings together several themed festivals under one roof – including the Indonesia Coffee Festival , Indonesia Tea Festival , Indonesia Wine Festival , and the Cokelat Expo Indonesia . This unique combination offers a highly focused yet comprehensive experience for professionals in the food and beverage industry. In a country like Indonesia, the world’s fourth-largest coffee producer, the expo holds particular significance. It serves as both a showcase and a platform for the rich diversity of locally grown Arabica and Robusta coffees, including rare specialties such as the renowned Kopi Luwak. In addition to premium products, the fair also presents the latest technologies and equipment for cafés, brasseries, hotels, and foodservice operations – ranging from espresso machines and roasting equipment to sustainable packaging solutions and digital ordering systems. Visitors can expect a vibrant program featuring barista competitions, latte art performances, live demonstrations, and expert-led seminars on current industry topics such as sustainability, market trends, and business development. Exhibitors represent sectors such as food processing, machinery and equipment manufacturing, hospitality concepts, import/export, as well as the start-up and innovation scene. The main audience includes baristas, café and restaurant owners, hoteliers, producers, culinary professionals, and investors looking for new products, networking opportunities, and industry insights. As such, the event serves not only as a display platform but also as a true driver of growth for the local and international gastronomy landscape. Unlike travelling exhibitions, the Café & Brasserie Expo Indonesia is a fixed-location flagship event that positions Tangerang as a hub of coffee culture and culinary innovation. More than just a trade fair, the Café & Brasserie Expo Indonesia is the vibrant heart of Indonesia’s coffee and gastronomy scene, where innovation, taste, and business converge."
IBAKTECH,14. - 17. October 2026,Turkey,Istanbul,Istanbul Fair Center,ibaktech.com/en/startseite,"IBAKTECH is an international trade fair for bakery and confectionery machinery, ice cream, chocolate and related production technologies. Open exclusively to trade visitors, it is one of the leading industry platforms in Eurasia. The event takes place at the Istanbul Fair Center (İstanbul Fuar Merkezi) in the Yeşilköy district and is held every two years. It is organised by Messe Stuttgart Turkey Fuarcılık Ltd. Şti. IBAKTECH covers the entire value chain across the bakery, confectionery, chocolate, sweets, ice cream, foodservice and food production sectors. Trade visitors can explore bakery and confectionery machinery, dough processing equipment, ingredients and raw materials, chocolate and ice cream production technologies, and packaging machinery. The exhibition also features decorating supplies, bakery and confectionery equipment, cooking appliances, food and beverages, snack and drinks vending machines, conveying systems, refrigeration equipment and frozen products. Exhibitors additionally showcase machinery and equipment for the food and beverage industry, along with professional kitchen equipment, furnishings and interior solutions for hotels, cafés and restaurants. This broad range gives trade visitors a comprehensive overview of machinery, ingredients, production processes and integrated operational solutions, all in one venue. Exhibitors primarily represent the machinery and plant engineering sector, the bakery and confectionery industry, chocolate and ice cream production, food processing technology, packaging and refrigeration technology. The foodservice, hospitality and professional kitchen equipment sectors are also well represented. IBAKTECH therefore provides companies not only with a platform for showcasing new products and technologies, but also with opportunities to establish international distribution partnerships, support investment decisions and enter new markets. Key visitor groups include bakers and representatives of the bakery industry, confectioners and café chains, as well as manufacturers of chocolate, confectionery, desserts and ice cream. The professional audience also includes chefs, representatives of restaurants and hotels, catering companies and food retailers. In addition, IBAKTECH attracts mechanical, production and food engineers, procurement professionals, foodservice specialists, and representatives of educational institutions, public bodies and other industry-related organisations. A major focus of the exhibition is the presentation of advanced machinery, automated production solutions and innovative technologies for bakery, confectionery, chocolate and ice cream production. IBAKTECH positions itself as a platform for innovation, investment and international professional exchange. Strong international participation and the presence of numerous established brands make the event an important meeting place for the industry. Trade visitors can compare technological developments first-hand, discover new solutions and establish contacts with potential business partners. IBAKTECH benefits from the convenient location of the Istanbul Fair Center in Yeşilköy, particularly for international visitors. Situated on the European side of Istanbul, the exhibition centre is well connected to the city's public transport network. IBAKTECH thus combines an internationally accessible venue with a broad yet highly specialised range of products, technologies and solutions. Over the course of just a few days, visitors can discover the latest technologies and products, identify suitable suppliers and establish new business contacts across the bakery, confectionery, chocolate, ice cream and foodservice sectors."
FARMER,15. - 18. October 2026,Moldova,Chişinău,International Exhibition Centre MoldExpo,www.farmer.moldexpo.md,"The FARMER Expo in Chișinău is a prestigious annual event held every October at the MoldExpo International Exhibition Center. It is organized and supported by the Ministry of Agriculture, Regional Development, and Environment of the Republic of Moldova. This trade fair serves as a central platform where leading national and international players in the agricultural sector converge. As the cornerstone of agro-industrial developments in Moldova, FARMER showcases the latest advancements in agricultural products, equipment, and technologies. The event goes beyond merely presenting products, but also celebrates the achievements and successes of the most efficient agricultural enterprises from all regions of the country. Furthermore, the expo provides a platform to discuss current issues, share positive experiences, and devise future strategies for the industry. The MoldExpo International Exhibition Center, the venue for the fair, is not just a striking location for such a significant event but also offers an ideal environment for business activities. Within the scope of the expo, pertinent topics are addressed against the backdrop of current challenges in agriculture and global trends. Accompanying international conferences, seminars, and round tables provide attendees with additional opportunities to learn about the latest products and market trends. A distinctive feature of the expo is the participation of numerous international companies introducing their innovative products and services. This promotes interaction between local and international stakeholders and contributes to the expansion of business partnerships as well as networking with financial institutions, industrial companies, and academic institutions from the Republic of Moldova and beyond. In conclusion, the FARMER Expo in Chișinău is a hub for innovation, collaboration, and progress in Moldova's agricultural sector, making an indispensable contribution to the development and strengthening of agriculture in the region."
China Home Baking Show,16. - 18. October 2026,China,Wuhan,Wuhan International Expo Center,www.bakerychina.com/en,"Hosted by the China Association of Bakery & Confectionery Industry (CABCI) in cooperation with Bakery China Exhibitions Co., Ltd., the "" China Home Baking Show "" is a leading fair for the baking craft. It takes place annually at the Wuhan International Expo Center, located in Wuhan—a city increasingly recognized as a significant center for commerce and culture in China. The fair serves as an important platform where national and international exhibitors from the baking and confectionery industry converge. The main themes of this trade fair include a variety of baking ingredients, utensils, household appliances, packaging decorations, and e-commerce solutions for baked goods. Additionally, the event offers an extensive educational program with workshops and courses for both professional and amateur bakers. The fair attracts a wide audience annually, including distributors, agents, online platforms, private studios, educational institutions, supermarkets, and baking enthusiasts of all kinds. The ""China Home Baking Show"" is not just a trading platform but also a venue for creativity and innovation, highlighted particularly by the numerous baking and coffee competitions. These competitions are a highlight of the fair and provide opportunities to learn new techniques and discover the latest industry trends. Wuhan, known for its dynamic economic growth and distinctive local culture, ideally supports the fair with its accessibility and modern infrastructure. The state-of-the-art Wuhan International Expo Center is easily accessible by public transport and offers the perfect setting for events of this scale. In conclusion, the ""China Home Baking Show"" offers a diverse program and a wide range of products, attracting thousands of visitors annually and strengthening Wuhan as a key international fair location. Visitors and exhibitors can look forward to an inspiring event that showcases both practical know-how and forward-looking ideas."
Bakery China Autumn,16. - 18. October 2026,China,Wuhan,Wuhan International Expo Center,www.bakerychina.com/en,"The "" Bakery China Autumn "" fair is recognized as a leading international platform for the bakery and confectionery industry, dedicated to the entire value chain of this sector. The event is held annually at the Wuhan International Expo Center in Wuhan, attracting industry leaders, buyers, and delegates from around the world to explore the latest innovations and trends in production, distribution, research and development, and related services. The fair is organized by the China Association of Bakery & Confectionery Industry (CABCI) in collaboration with Bakery China Exhibitions Co., Ltd., and serves as a central venue for professional competitions and conferences. The exhibition showcases a wide range of products, from ingredients like cereals, dairy, chocolate, and meat to functional ingredients, sauces, and spices, as well as extensive equipment—from production machinery, molds, and utensils to refrigeration systems and ovens, as well as smart devices and laboratory equipment. Packaging solutions, tableware, and ready-to-eat foods and snacks, from light meal options to coffee and tea, as well as ice cream and fruit and vegetable products, are also presented. The fair in Wuhan is more than just a business meeting; it is a cultural hub deeply rooted in the Chinese bakery and confectionery industry and actively supports the promotion of both local and international business relations. Highlights include various national and international baking and coffee competitions that showcase the creativity and innovation of the industry. Exhibitors and visitors represent diverse sectors such as food production, gastronomy, and franchising, making the fair an important platform for networking and knowledge exchange. With excellent transportation links, the Wuhan International Expo Center provides the ideal backdrop for this extensive and dynamic event, which sets a vital pulse for the entire industry."
GENUSSWELTEN,16. - 18. October 2026,Austria,Vienna,Palais Auersperg,genusswelten.at,"The ""GENUSSWELTEN""in Vienna is more than just a fair – it is an annual celebration for everyone who appreciates fine food and quality beverages. Twice a year, ""Genusswelten"" presents a unique combination of trade fair and public exhibition, making this culinary event appealing to gourmets and industry professionals as well as interested food lovers who want to discover, experience, and taste exquisite specialties. With carefully selected exhibitors, the fair provides an exclusive opportunity to explore both regional and international delights. From fine cheeses, freshly baked bread, and artisan pastries to rare teas, select spices, refined condiments, and exquisite wines, beers, and spirits – connoisseurs will find a feast for the senses. Direct encounters between producers and visitors foster trust and offer authentic insights into the origins, quality, and craftsmanship behind the products. A varied supporting program enhances the experience: live cooking shows reveal the art of culinary craftsmanship, interactive workshops deepen knowledge about preparation and taste, and exclusive tastings invite visitors to discover and indulge. Seasonal theme worlds add variety and give each edition its own distinctive character. GENUSSWELTEN is the meeting place for all who wish to experience food and drink with all their senses – informative, delightful, and authentic."
