전시회명,개최기간,개최국,개최도시,개최장소(베뉴),축제URL,축제소개
Foire de Savoie,11. - 21. September 2026,France,Chambéry,Savoiexpo,www.foiredesavoie.com,"Founded in 1924, the Foire de Savoie is far more than a traditional consumer fair. It stands as a prominent platform for regional culture, innovation, and quality of life. Every September, the Savoiexpo exhibition center transforms into a vibrant meeting point for curious visitors, enthusiasts, professionals, and entrepreneurs from across the region and beyond. Organized by Savoiexpo, a seasoned event organizer with extensive experience in large-scale public events, the fair uniquely combines the useful, the beautiful, and the memorable. Exhibitors from a wide range of industries present the latest trends and products – from household solutions, furniture, and leisure vehicles to garden design, interior concepts, and professional services. Local specialties, traditional craftsmanship, and culinary delights such as cheese, wine, and delicacies from the Savoy region take center stage alongside modern technologies and sustainable everyday solutions. The strong connection to the region is ever-present. The fair celebrates the essence of Savoyard life with cultural performances, artisan demonstrations, live music, and cooking competitions. Visitors can discover new leisure trends, explore topics related to health, beauty, and wellness, or engage in industry-specific networking and expert discussions. The program caters equally to families and professionals, traders, and business owners. With over 80,000 visitors annually, the Foire de Savoie ranks among the most important events of its kind in the Alpine region. It attracts a broad and diverse audience – from private individuals to decision-makers across sectors such as construction, tourism, and the food industry. The Savoiexpo exhibition center offers modern infrastructure and excellent accessibility. Conveniently located near the A43 motorway, the Chambéry-Challes-les-Eaux train station, and Chambéry-Savoie Airport, it provides ideal conditions for an event of this scale. The city of Chambéry itself – steeped in history, full of charm, and known for its high quality of life – adds to the unique appeal of the fair. For more than a century, the Foire de Savoie has stood for authenticity, inspiration, and connection. It is an event that brings people together, sparks enthusiasm, and remains a highlight year after year."
Tecno Fidta,15. - 18. September 2026,Argentina,Buenos Aires,La Rural Convention & Exhibition Center,tecnofidta.ar.messefrankfurt.com,"Tecno Fidta , short for ""Tecnología de Alimentos Fidta"", is an international trade fair for food technology. As one of the leading platforms in Latin America, it offers innovations and solutions in food processing. The event takes place every two years at the La Rural Convention & Exhibition Center in Buenos Aires. The fair is organized by Messe Frankfurt Argentina, a subsidiary of the globally active Messe Frankfurt, known for its expertise in industrial event management. Tecno Fidta attracts professionals from the entire food industry, including producers, engineers, and decision-makers, who are eager to learn about the latest trends and technologies. The fair's offerings encompass a variety of topics such as food processing, cold storage, automation and control systems, as well as laboratory and quality assurance equipment. Exhibitors present advanced machinery and devices, including meat grinders, pasteurizers, metal detectors, and specialized laboratory instruments. Services such as certification and hygiene control are also part of the portfolio. Tecno Fidta plays a significant role in the Latin American food industry, facilitating exchange and supporting the growth of the sector in the region. It reflects the dynamic character of Buenos Aires. Highlights of the fair include numerous informational events, conferences, training sessions, and workshops, providing participants with valuable insights and opportunities for professional development. Access to the centrally located La Rural Convention Center is facilitated by excellent infrastructure and transportation links. This makes it appealing for both international visitors and local participants to engage in this vibrant exchange. In summary, Tecno Fidta serves as an essential platform for professionals in the food industry to stay informed about the latest innovations and best practices, and to explore business opportunities in one of the world’s leading markets for food technology."
Worldfood Moscow,15. - 18. September 2026,Russia,Krasnogorsk,Crocus Expo - IEC Crocus Expo International Exhibition Centre,world-food.ru,"WorldFood Moscow is one of the most important trade fairs for the food and beverage industry in Russia and across Eurasia. Since its launch in 1992, it has steadily gained significance and developed into a key industry gathering with international reach. Organized by the experienced event company ITE Expo International, the fair provides a platform for industry professionals to explore new products, market trends, and global developments in the food and beverage sector. As a strictly B2B event, the fair is exclusively geared toward trade visitors—particularly decision-makers and buyers from wholesale and retail, as well as representatives of the HoReCa sector (hotels, restaurants, cafés). The focus is not only on product presentations but also on concrete business deals, market expansion, and the establishment of long-term trade relationships. The clearly structured segmentation by product groups facilitates targeted networking between exhibitors and visitors—for example, in the areas of processed foods, fresh produce, fish and seafood, meat and poultry, beverages, and organic products. The product range covers all areas of modern nutrition—from frozen foods, canned goods, and convenience products to sweets, fresh fruit and vegetables, dried fruits and nuts, as well as premium meats, alternative protein sources, and ingredients for sushi. The beverage sector is equally diverse, featuring a wide selection of alcoholic specialties such as wine, beer, and vodka, alongside non-alcoholic drinks, teas, and coffees. Certified organic products play a special role—highlighted both in dedicated theme areas and integrated across various product segments. A key feature of the event is its extensive supporting program, which includes conferences, forums, and roundtable discussions offering practical insights and strategic knowledge for industry professionals. A particular highlight is the cooking marathon, where renowned chefs demonstrate their skills and showcase current gastronomic trends in live sessions. The venue is the Crocus Expo International Exhibition Centre in Krasnogorsk near Moscow—one of the most modern exhibition centers in Russia, offering excellent infrastructure and transport connections. The choice of this location underlines the fair’s ambition to be internationally oriented, efficiently organized, and focused on growth. Each autumn, it attracts a global professional audience aiming to strategically position their products in the Russian market. WorldFood Moscow has established itself as a leading trade event for the Eastern European food market—offering thematic diversity, a strategic outlook, and a clear focus on quality and international business. It is the ideal platform for companies looking to enter the Russian market or expand their presence there."
ILDEX Indonesia,16. - 18. September 2026,Indonesia,Tangerang,ICE Indonesia Convention Exhibition BSD City,www.ildex-indonesia.com,"The ILDEX Indonesia is a leading trade fair that has served as a key platform for the livestock, dairy processing, meat processing, and aquaculture industries in Southeast Asia since its inception in 2015. Organized by VNU Exhibitions Asia Pacific Co., Ltd., it takes place annually at the Indonesia Convention Exhibition (ICE) BSD City in Tangerang. It brings together professionals, experts, and businesses from across the entire animal production value chain, offering a unique opportunity for knowledge exchange, business networking, and the presentation of cutting-edge innovations. ILDEX Indonesia covers essential industry topics, including breeding and genetics, animal health, feed production, storage, automated processing technologies, and cold chain solutions. The trade fair highlights technological advancements and sustainable developments that enhance efficiency and productivity. Intelligent farming and modern livestock housing are becoming increasingly significant, as automation and digital solutions continue to shape the industry. Leading companies and emerging innovators showcase their latest products and services, including feed and additives, vaccines, medical technology, hatchery solutions, processing machinery, and smart livestock management systems. The fair also serves as a knowledge platform for local breeders, hatcheries, and livestock farms seeking insights into suitable animal species and best practices for their operations. Aquaculture is also gaining prominence, as Indonesia ranks among the world’s largest producers of fish and seafood. ILDEX Indonesia attracts a diverse professional audience, including livestock farmers, agricultural producers, feed manufacturers, veterinarians, meat processors, and representatives from the food and hospitality industries. Notably, the strong international participation of exhibitors and visitors makes the fair a key meeting point for the Southeast Asian market. As part of the global ILDEX series, which is held in various Asian countries, the event further strengthens Indonesia’s position as a major player in agricultural production and processing. In addition to the exhibition, ILDEX Indonesia offers a comprehensive program of conferences, expert lectures, and workshops where renowned specialists share their expertise. The venue, ICE BSD City, provides a state-of-the-art infrastructure with top-tier facilities and excellent accessibility. Tangerang, a dynamic economic hub near Jakarta, benefits from strong connections to international airports and an efficient transportation network, ensuring convenient travel for both domestic and international attendees. As a result, ILDEX Indonesia is more than just a trade fair—it is a crucial hub for progress and innovation in the agricultural and animal processing industries in the region."
Fi Asia Indonesia,16. - 18. September 2026,Indonesia,Jakarta,JIExpo Jakarta International Expo,www.figlobal.com/asia-indonesia/en/home.html,"The "" Fi Food Ingredients Asia Indonesia ,"" commonly referred to as Fi Asia Indonesia , is a significant international trade fair specializing in food additives. It is held annually at the JIExpo Jakarta International Expo in Jakarta and is renowned for its ability to connect buyers from regional and global markets with international suppliers of food and beverage additives. The fair is organized by Informa Markets, a trade division of Informa PLC and a leading company in event organization. Informa Markets is known for its expertise in creating interactive and innovative platforms for various industries, with Fi Asia Indonesia being a highlight in the food and beverage industry. A primary focus of the fair is on showcasing the latest and most innovative products in the field of food additives. Exhibitors have the opportunity to present their products and services to a qualified audience of decision-makers, making Fi Asia Indonesia a central hub for innovation and business development. The fair covers a wide range of topics, including natural ingredients, preservatives, functional foods, flavors and spices, dietary supplements and nutraceuticals, functional beverages, dairy alternatives, emulsifiers, proteins, dairy products, binders, and much more. The spectrum of products presented at the fair ranges from food additives and ingredients to food processing technologies, packaging solutions, and much more. In addition to the exhibition, Fi Asia Indonesia offers numerous networking opportunities, expert lectures, and panel discussions where industry experts share their knowledge and insights. These interactive elements establish the fair as an indispensable platform for those involved in research and development, production, marketing, or distribution of food additives. Fi Asia Indonesia is part of a global network of Fi fairs, which also includes locations in Europe, America, and other parts of Asia. Finally, it is worth noting that the JIExpo in Jakarta boasts modern facilities and excellent public transport connections. Jakarta itself, as a vibrant metropolis and significant economic hub, offers numerous attractions and a diverse gastronomy and entertainment scene, making the visit to the fair a unique experience."
World AgriFood Innovation Expo (WAFI),17. - 19. September 2026,China,Beijing,Jinhai Lake International Convention & Exhibition Center,en.wafiforum.com,"The World AgriFood Innovation Expo (WAFI) is an international trade fair for innovations in the agricultural and food industries. It represents global progress and exchange in the fields of agriculture and nutrition. Serving as a central platform for professionals from business, science, and politics, the event takes place annually at the renowned Pinggu Jinhai Lake International Convention & Exhibition Center in Beijing, China. This venue is distinguished by its strategic location and state-of-the-art infrastructure. Organized by the China Agricultural University International Conference Center, WAFI offers a valuable opportunity for industry experts, investors, and innovators to exchange insights on the latest developments and present groundbreaking solutions to global challenges in agriculture and food production. The expo focuses on cutting-edge topics such as artificial intelligence and digital technologies, which set new standards for efficiency in food production. Additionally, biotechnology plays a key role in advancing agricultural progress through targeted genetic optimization. Innovative food technologies, nutrition, and health are also central themes, aiming to establish sustainable and healthy dietary practices worldwide. Moreover, solutions for livestock farming and aquaculture are highlighted, demonstrating how modern technologies can enhance efficiency and sustainability. Other key discussions revolve around resilience and sustainability in agriculture and food systems, particularly in response to climate change. Political and regulatory frameworks, support for smallholder farmers, gender equality in the industry, and financing models for innovation also feature prominently. WAFI showcases groundbreaking products and services, including smart farming systems, sustainable packaging solutions, alternative proteins, vertical farming methods, and novel food technologies. International companies present their latest advancements, while start-ups have the opportunity to attract investors for their visionary projects. The expo is closely tied to China's economic and technological development in the agricultural and food sectors, highlighting the country's innovative strength. A prestigious highlight of the event is the WAFI Innovation Award, which honors companies that revolutionize the future of global food production with their products and technologies. Expert panels, podium discussions, and interactive workshops provide visitors with valuable insights and extensive networking opportunities. WAFI brings together a wide range of exhibitors, including technology companies, agricultural enterprises, food producers, start-ups, research institutions, and policymakers. The primary visitors include professionals from agriculture, food production, retail, logistics, finance, and technology, creating a unique platform for exchange among visionaries, innovators, and decision-makers. The venue, the Pinggu Jinhai Lake International Convention & Exhibition Center, is known for its modern architecture and scenic surroundings. With excellent connectivity, the exhibition center is easily accessible from both Beijing International Airport and the city center. The well-developed infrastructure makes WAFI an essential event for the future of the agricultural and food industries."
The Plant Powered Show,18. - 20. September 2026,South Africa,Sandton,Sandton Convention Centre,plantpoweredshow.com,"The ""Plant Powered Show"", a groundbreaking trade fair, was first held in 2020. As a leading African event in the field of plant-based nutrition, beverages, and a conscious lifestyle, it has quickly gained recognition. The fair annually attracts visitors and professionals from around the world who are interested in exploring the latest trends and products in the plant-based lifestyle sector. The organizer of the fair, Live Events Africa (Pty) Ltd., is known for its expertise in organizing high-caliber events. The ""Plant Powered Show"" focuses on themes such as plant-based nutrition, sustainability, and a healthy lifestyle. Exhibitors offer a wide range of products and services, ranging from innovative foods and beverages to wellness and lifestyle items. This provides a unique platform for companies to present their latest innovations and ideas to a broad audience. The fair also strengthens local culture and economy by bringing together local and international companies, thereby contributing to the growth of the plant-based industry in South Africa. A special highlight is the testing area, where renowned chefs present their culinary creations. This gives visitors the opportunity to discover new flavors and learn simple methods for healthy and sustainable dishes. The ""Plant Powered Show"" attracts exhibitors from various sectors, such as the food industry, health and wellness, and the sustainability sector. The main visitors include professionals from these industries, as well as consumers interested in a healthy and sustainable lifestyle. In summary, the ""Plant Powered Show"" is more than a fair; it is an annual gathering for all those committed to a healthy, sustainable, and conscious lifestyle. It offers a unique opportunity for networking, learning, and discovering the latest innovations in the plant-based industry."
"Icelandic Fisheries, Seafood & Aqua Exhibition (IceFish)",22. - 24. September 2026,Iceland,Kopavogur,Fifan Halls,www.worldfishing.net/icelandic-fisheries-exhibition,"The Icelandic Fisheries, Seafood & Aqua Exhibition, known briefly as ""IceFish"", exemplifies Iceland's pioneering role in the global fishing industry. Since its inception in 1984 by the organizer Mercator Media Ltd, the expo has established itself as an indispensable event for professionals in the fishing and seafood sector. It takes place at the Fifan Halls in Kópavogur, a central location near Reykjavik, and attracts visitors and exhibitors from all over the world. As an island nation with one of the largest exclusive economic zones and a rich maritime heritage, Iceland provides the ideal conditions for hosting IceFish. The country's clean waters and sustainable fishing practices make it the perfect host for this trade fair. The biennial frequency of the expo allows exhibitors to fully develop and present their latest innovations and technologies, making it particularly appealing to visitors. IceFish covers a wide range of topics, from aquaculture equipment and automation technologies to navigation and communication systems, safety equipment, and fish-finding devices. The expo offers a broad platform for the latest developments in ship design, processing equipment, specialized software, and management systems for the maritime industry. A standout feature of IceFish is its comprehensive representation of industry-relevant topics, supplemented by the participation of consultants, educational institutions, and government agencies. Workshops and presentations by leading industry experts provide valuable insights and promote the exchange of knowledge and best practices. IceFish serves as a central hub for sharing innovations, networking, and promoting sustainable practices in the global fishing industry. With its depth of expertise and the variety of products and services exhibited, it regularly sets new standards and attracts both professionals and exhibitors alike, making it one of the leading fairs of its kind on the global stage."
Sahara Expo,22. - 24. September 2026,Egypt,Cairo,Egypt International Exhibition Center,www.saharaexpo.com,"The Sahara International Agricultural Exhibition, known as Sahara Expo, is one of the most significant trade fairs for agriculture and food in the MENA region. Since its founding in 1987, it has become a key meeting point for industry professionals and takes place annually in September at the modern Egypt International Exhibition Center (EIEC) in Cairo. Admission is strictly limited to trade visitors and requires prior registration—a clear sign of the event’s professional orientation and high relevance within the sector. The exhibition is organized by Informa Markets, a global leader in trade fair organization. With extensive experience and an international network, Informa brings together stakeholders across the entire agricultural value chain. Sahara Expo stands out for its thematic depth and strong focus on current and future challenges in the agricultural sector. Key topics include agricultural technology, sustainable farming, crop protection, seed innovation, and modern water management. Exhibitors showcase specialized products and services ranging from smart agricultural machinery and efficient irrigation systems to innovative post-harvest solutions. Additional areas of focus include animal health, animal feed, greenhouse technologies, and agricultural services. A distinctive feature of the expo is its high-quality seminars, conferences, and workshops, which offer practical insights into industry trends and solution strategies. These events promote exchange among manufacturers, processors, marketing experts, and decision-makers from the agribusiness sector, making Sahara Expo a vital platform for knowledge and innovation. The Egypt International Exhibition Center provides ideal conditions for both exhibitors and visitors, offering modern facilities, excellent infrastructure, and a convenient location. It is easily accessible by public transportation or car. Cairo, as a vibrant metropolis, enhances the event experience with a wide range of accommodations, cultural attractions, and leisure activities, creating an all-encompassing business environment for international guests. Sahara Expo is therefore an indispensable platform for anyone looking to stay informed about the latest developments in agriculture, build professional connections, and discover practical solutions—regionally grounded, thematically focused, and globally relevant."
India Food Forum,22. - 23. September 2026,India,Mumbai,Jio World Convention Centre,indiafoodforum.com,"The India Food Forum, inaugurated in 2008, is a prestigious trade fair in the food and beverage sector, held annually in Mumbai. Organized by Images Multimedia Pvt Ltd., it has established itself as a leading event in India, dedicated to showcasing and promoting new food and retail technologies, current trends, and innovative business strategies. The structure of the India Food Forum is multifaceted, comprising various elements that create a comprehensive experience for participants and visitors. This includes exhibition areas where a wide range of products and services are presented. These encompass food and beverage products, technologies and solutions for retail, catering equipment, and much more. The conference segment includes lectures, discussion rounds, and presentations by industry experts. Topics covered include market trends, new technologies, consumer behavior, and future challenges. Additionally, master classes, workshops, awards, competitions, and product demonstrations enhance the fair's program. Key topics include food processing, retail technologies, gastronomic trends and retail strategies, as well as technological solutions for the food industry and offerings for the HoReCa sector. The versatility of the fair is evident in the exhibition, which ranges from baked goods and confectionery to beverages, cereals, fresh products, frozen foods, and dairy products. Special attention is paid to Halal foods, organic products, seafood, and innovative gastronomic concepts. The fair holds a significant position in India, reflecting the dynamism and growth of the country's food and beverage industry. Highlights include the Images Food Service Awards and other recognitions, which honor outstanding achievements in the food and retail sectors, showcasing the innovations and successes of the industry. Exhibitors come from various fields, including food manufacturing, technology providers, retail, and gastronomy. The main visitors are professionals from these sectors, interested in current trends and developments. The India Food Forum, with its multifaceted structure, offers a unique platform that brings together industry experts, innovators, and enthusiasts. Here, the latest trends, technologies, and business strategies in the food and beverage industry are presented and celebrated, making it an indispensable event for all stakeholders in this dynamic sector."
