전시회명,개최기간,개최국,개최도시,개최장소(베뉴),축제URL,축제소개
Herbstfest Kloster Veßra,18. - 20. September 2026,Germany,Kloster Veßra,Kloster Veßra,gartenkoenig.com/event/herbstfest-kloster-vessra,"The Herbstfest Kloster Veßra is an annual lifestyle and garden fair that transforms the historic grounds of the Henneberg Museum Kloster Veßra into an autumn-inspired world of experiences. Organized by Arcos GmbH, this event uniquely combines tradition with contemporary trends, nature with indulgence, and craftsmanship with lifestyle. Each year in September, as the vibrant colors of autumn unfold, the festival invites visitors to experience the special atmosphere of one of Thuringia’s most beautiful open-air museums. The listed walls of the former Cistercian monastery provide a striking backdrop for a fair that is far more than a typical market – it is a stylish celebration for garden enthusiasts, food lovers, families, and curious explorers alike. The event centers around themes related to home, garden, and rural living, always reflecting the region’s artisanal and agricultural heritage. Visitors can discover seasonal plants such as roses, herbs, and perennials, accompanied by expert advice and practical care tips. The selection is complemented by thoughtfully curated products for stylish living – from handmade decorations and rustic-elegant furniture to distinctive fashion pieces, including Italian designer wear and high-quality alpaca wool clothing. Jewelry and trendy accessories further enrich the diverse range on offer. Culinary highlights include a delightful mix of regional specialties and international delicacies. Special features such as whisky tastings and gourmet food stands with unique offerings provide additional culinary experiences. Exhibitors mainly come from the fields of horticulture, crafts, design, home décor, fashion, fine foods, and natural products. The audience is just as diverse, drawing visitors from across Thuringia, Franconia, Hesse, and beyond. Garden lovers, connoisseurs, families, and professionals from the floristry, decoration, and event industries particularly value the successful blend of quality, atmosphere, and regional flair. The venue – the Henneberg Museum Kloster Veßra – is a cultural landmark in southern Thuringia. Its impressive architecture and picturesque surroundings give the event a truly one-of-a-kind setting. Getting there is easy: by car via the A71 motorway, or by public transport to the nearby Themar train station, from which shuttle services run to the event grounds."
kulinart,03. - 04. October 2026,Germany,Frankfurt,"Campus Westend, Casinogebäude, Goethe-Universität",www.kulinart-messe.de,"The kulinart Frankfurt is an annual public and trade fair held in autumn, established as a platform for culinary culture, sustainable food, and stylish lifestyle design. It is organized by Frankfurter Messe & Event GmbH, an experienced event organizer based in Offenbach. The venue is the Casino building on the Westend Campus of Goethe University Frankfurt – an architecturally striking location on one of the most beautiful university campuses in Europe. This elegant setting provides the ideal backdrop for an event dedicated to mindful enjoyment, regional diversity, and artisanal craftsmanship. More than just a trade fair, kulinart is a sensory experience that appeals to food lovers, amateur chefs, health-conscious visitors, and design enthusiasts alike. It showcases a carefully curated selection of high-quality foods, innovative culinary products, stylish kitchenware, and contemporary ideas for table culture and home living. At its core is a commitment to quality, sustainability, and individuality. Whether organic, fair-trade, or locally produced, conscious consumption becomes a journey of discovery. The focus is on culinary trends and authentic taste experiences. Visitors discover products rarely found in conventional retail stores: fine oils, unusual vinegars, handcrafted chocolates, unique spreads, aromatic spices, fresh truffles, rare mushrooms, and much more. The selection is complemented by exquisite wines – especially from Hessian winemakers in the Rheingau and Hessische Bergstraße regions – as well as artisanal sparkling wines and champagnes, distinctive craft beers, and fine spirits such as gin, whisky, and fruit brandies from small distilleries. A local specialty, apple wine, is also featured in a wide range of variations. A key emphasis of the fair is on regional origins and artisanal production. Many exhibitors come from Hesse or neighboring areas and present products made with attention to detail and traditional methods. From cheeses from small farm dairies to specialty sausages from family-run butcheries and individually brewed craft beers – culinary craftsmanship is on display at its finest. Kulinart also offers an interactive experience with live cooking shows, tastings, and workshops. On the show stage, renowned chefs and food bloggers share practical tips, present recipes, and invite the audience to think along, cook along, and sample their creations. Themed tasting zones and high-quality street food make the fair a place where culinary diversity can be experienced in all its forms – from quick bites to in-depth professional exchanges. Kulinart Frankfurt is a source of inspiration for anyone who values conscious enjoyment, sustainable products, and authentic cuisine – all within a refined setting that encourages personal encounters. Seamlessly combining marketplace, trade fair, and experiential event, it has earned a firm place in the region’s event calendar thanks to its clear focus on quality, local character, and craftsmanship."
WineDortmund,03. - 04. October 2026,Germany,Dortmund,Westfälischer Industrieklub,www.webermesse.de/messe/wein-dortmund,"WeinDortmund is a distinguished wine fair that has established itself as an annual event for both trade professionals and the general public at the prestigious Westphalian Industrial Club in Dortmund. Organized by the experienced Webermesse GmbH, it invites guests each year on a flavorful journey through the world of wine. The focus is on red Burgundy varieties, which pair perfectly with seasonal autumn cuisine, as well as freshly bottled wines from the current vintage. Alongside new product releases, the fair also showcases the personal signatures and unique styles of the winemakers. The event is clearly curated: more than 500 wines from renowned German wine regions – including the Moselle, Nahe, Franconia, Rheinhessen, Palatinate, Baden, and Württemberg – as well as international selections from Italy, Spain, France, Austria, Australia, South Africa, and Chile are available for tasting. Visitors can engage directly with winemakers, wineries, cooperatives, and importers to gain deeper insight into the origins and philosophies behind each wine. WeinDortmund is much more than a traditional tasting event. It serves as an exclusive platform for trade professionals, upscale gastronomy, and discerning wine enthusiasts who not only sample but also place orders on site. Exhibitors from wine production, import/export, specialized retail, hospitality, and wine and beverage technology use the fair strategically to establish new business contacts, launch products, and showcase their brands in a premium environment. As part of Webermesse GmbH’s exclusive event portfolio, WeinDortmund is also held in selected cities such as Berlin, Cologne, and Munich – with each edition tailored to the local audience and regional culinary culture. The Westphalian Industrial Club offers not only an elegant and centrally located venue, but also excellent accessibility thanks to its proximity to the main train station, public transport, and convenient parking – making it easily reachable for both regional visitors and guests from across Germany. WeinDortmund combines in-depth wine expertise with urban hospitality – a must-attend event for anyone who wants to experience wine with all their senses."
Fiera Nazionale del Tartufo Bianco Pregiato,04. October 2026,Italy,Sant'Agata Feltria,Strada Provinciale Santagatese,www.prolocosantagatafeltria.com,"The “Fiera Nazionale del Tartufo Bianco Pregiato” is a nationally significant culinary and cultural fair held annually since 1985 in the picturesque town of Sant’Agata Feltria, nestled in Italy’s Emilia-Romagna region. Every October, the Strada Provinciale Santagatese and the town’s historic center are transformed into a vibrant stage for flavors, traditions, and craftsmanship. Organized by the Comune di Sant’Agata Feltria, the fair is not merely a culinary event, but a deliberate tribute to the region’s cultural roots and natural richness. Amidst medieval architecture, gourmets, producers, chefs, farmers, travelers, and truffle enthusiasts gather for a celebration of all the senses. At the heart of the event is the prized white truffle – a delicacy foraged in the surrounding woodlands with the help of specially trained dogs. Available only seasonally, this aromatic tuber is much more than a regional specialty: it is a symbol of local identity and cultural heritage. Since 2021, the art of truffle hunting and harvesting has been recognized by UNESCO as intangible cultural heritage – a status brought to life at the fair through themed events, demonstrations, and informative exhibits. Yet, the Fiera Nazionale del Tartufo Bianco Pregiato goes far beyond showcasing truffles. It blends culinary excellence with traditional crafts, cultural exchange, and a diverse program of events. Visitors can expect a welcoming atmosphere shaped by regional cuisine, exhibitions, live music, guided tours, and hands-on workshops – all infused with the warm hospitality of the local community. A particular crowd favorite is the truffle dog competition, where humans and animals team up in a friendly contest to demonstrate their skills in finding the ""white gold"". Meanwhile, wine tours to local vineyards and inventive truffle-based dishes in the town’s restaurants offer indulgent experiences for food lovers. The fair attracts professionals from the culinary arts, agriculture, food production, hospitality, and retail sectors, as well as private visitors, travel groups, families, and gourmet travelers. Visiting the fair is not only a journey into the world of truffles but also an encounter with history and culture. Landmarks such as the Rocca Fregoso, the Angelo Mariani Theatre, ornate fountains, and historic monasteries create a striking backdrop with a unique atmosphere. The town is easily accessible by car or public transport and welcomes guests with autumnal colors, fragrant alleyways, and unmistakable charm. The Fiera Nazionale del Tartufo Bianco Pregiato is a celebration for all senses, a tribute to regional authenticity, and a shining example of how culinary excellence, sustainable values, and living traditions can come together in inspiring harmony."
Wine fair,09. - 18. October 2026,Switzerland,Bern,BERNEXPO,bernerweinmesse.ch/de,"The Bern Wine Fair, a combination of trade and public exhibition, has been celebrating an annual homage to the world of wines and culinary delights since its inception in 1974. Over the course of ten days, BERNEXPO, the renowned exhibition center in Bern, transforms into a paradise for wine lovers and gourmets. This exquisite event is organized by Berner Weinmesse AG. The heart of the fair is the Oenotheque, where more than 2,000 exquisite wines from around the world are showcased by expert dealers in a relaxed atmosphere. Visitors have the opportunity to engage directly with winemakers and wineries, gaining in-depth knowledge about the wines on offer. The Oenotheque provides a unique chance to discover and taste new and award-winning wine creations. Another highlight is the selection of cult wines, where exclusive and world-famous wines such as Château Mouton Rothschild and Redigaffi Toscana IGT are available for tasting. This special selection emphasizes the distinctive character of the Bern Wine Fair and offers connoisseurs deep insights into the elite of the wine world. In addition, regional delicacies, spirits, and specialty beers are featured, showcasing the culinary diversity of the region and beyond. This gastronomic offering complements the experience, allowing visitors to meet local producers in person and hear their stories. The Bern Wine Fair is not only known for its wide range of themes and highlights, but also for its focus on fostering dialogue and exchange between wine enthusiasts and producers. As a meeting and tasting venue, it provides a platform for independent winemakers, family-owned wineries, distillers, and wine cooperatives to present their latest products and recommendations to a broad audience. Throughout its long history, the Bern Wine Fair has established itself as an indispensable event on the calendar of every wine lover. The fair takes place in the impressive setting of BERNEXPO, which stands out not only for its central location but also for its modern facilities and welcoming atmosphere. Every year, this event attracts thousands of national and international visitors who share a common passion for wine and gastronomy."
Fiera Nazionale del Tartufo Bianco Pregiato,11. October 2026,Italy,Sant'Agata Feltria,Strada Provinciale Santagatese,www.prolocosantagatafeltria.com,"The “Fiera Nazionale del Tartufo Bianco Pregiato” is a nationally significant culinary and cultural fair held annually since 1985 in the picturesque town of Sant’Agata Feltria, nestled in Italy’s Emilia-Romagna region. Every October, the Strada Provinciale Santagatese and the town’s historic center are transformed into a vibrant stage for flavors, traditions, and craftsmanship. Organized by the Comune di Sant’Agata Feltria, the fair is not merely a culinary event, but a deliberate tribute to the region’s cultural roots and natural richness. Amidst medieval architecture, gourmets, producers, chefs, farmers, travelers, and truffle enthusiasts gather for a celebration of all the senses. At the heart of the event is the prized white truffle – a delicacy foraged in the surrounding woodlands with the help of specially trained dogs. Available only seasonally, this aromatic tuber is much more than a regional specialty: it is a symbol of local identity and cultural heritage. Since 2021, the art of truffle hunting and harvesting has been recognized by UNESCO as intangible cultural heritage – a status brought to life at the fair through themed events, demonstrations, and informative exhibits. Yet, the Fiera Nazionale del Tartufo Bianco Pregiato goes far beyond showcasing truffles. It blends culinary excellence with traditional crafts, cultural exchange, and a diverse program of events. Visitors can expect a welcoming atmosphere shaped by regional cuisine, exhibitions, live music, guided tours, and hands-on workshops – all infused with the warm hospitality of the local community. A particular crowd favorite is the truffle dog competition, where humans and animals team up in a friendly contest to demonstrate their skills in finding the ""white gold"". Meanwhile, wine tours to local vineyards and inventive truffle-based dishes in the town’s restaurants offer indulgent experiences for food lovers. The fair attracts professionals from the culinary arts, agriculture, food production, hospitality, and retail sectors, as well as private visitors, travel groups, families, and gourmet travelers. Visiting the fair is not only a journey into the world of truffles but also an encounter with history and culture. Landmarks such as the Rocca Fregoso, the Angelo Mariani Theatre, ornate fountains, and historic monasteries create a striking backdrop with a unique atmosphere. The town is easily accessible by car or public transport and welcomes guests with autumnal colors, fragrant alleyways, and unmistakable charm. The Fiera Nazionale del Tartufo Bianco Pregiato is a celebration for all senses, a tribute to regional authenticity, and a shining example of how culinary excellence, sustainable values, and living traditions can come together in inspiring harmony."
Speis & Trank,17. - 18. October 2026,Germany,Fellbach,Alte Kelter,www.messe-speisundtrank.de,"The ""Speis & Trank"" fair in Fellbach, organized by M&S Messebau & Service GmbH, is an annual highlight for lovers of exquisite food and drink cultures. With its unique concept, the fair presents a carefully curated selection of international and local delights in the impressive setting of the Alte Kelter, a historic building located in the heart of Fellbach, near Stuttgart. With space for around 100 exhibitors, ""Speis & Trank"" offers an inspiring culinary journey through the latest trends in gastronomy. Visitors can explore and purchase everything from handmade spreads to premium wines and high-quality gourmet products. The fair successfully brings together a wide range of products and services, making it a must-attend event for any food connoisseur. A particular highlight is the variety of tasting opportunities, allowing guests to discover new flavors on-site. The culinary offerings are complemented by a selection of refreshing drinks and light snacks, all of which can be enjoyed in the charming atmosphere of the Alte Kelter. Beautifully decorated seating areas invite visitors to linger and savor the experience. The Alte Kelter itself adds to the event's special charm with its unique architecture and historical significance. Centrally located in Fellbach, it is easily accessible by public transport, and for those arriving by car, ample parking is available at the nearby Max-Graser Stadium. With its combination of international diversity, regional quality, a unique venue, and a broad range of products and experiences, the ""Speis & Trank"" fair stands out from other events. It is a must-visit for anyone who loves food and drink. The fair provides a platform for both exhibitors and visitors to immerse themselves in the world of culinary arts while also experiencing the rich culture and history of Fellbach."
Fiera Nazionale del Tartufo Bianco Pregiato,18. October 2026,Italy,Sant'Agata Feltria,Strada Provinciale Santagatese,www.prolocosantagatafeltria.com,"The “Fiera Nazionale del Tartufo Bianco Pregiato” is a nationally significant culinary and cultural fair held annually since 1985 in the picturesque town of Sant’Agata Feltria, nestled in Italy’s Emilia-Romagna region. Every October, the Strada Provinciale Santagatese and the town’s historic center are transformed into a vibrant stage for flavors, traditions, and craftsmanship. Organized by the Comune di Sant’Agata Feltria, the fair is not merely a culinary event, but a deliberate tribute to the region’s cultural roots and natural richness. Amidst medieval architecture, gourmets, producers, chefs, farmers, travelers, and truffle enthusiasts gather for a celebration of all the senses. At the heart of the event is the prized white truffle – a delicacy foraged in the surrounding woodlands with the help of specially trained dogs. Available only seasonally, this aromatic tuber is much more than a regional specialty: it is a symbol of local identity and cultural heritage. Since 2021, the art of truffle hunting and harvesting has been recognized by UNESCO as intangible cultural heritage – a status brought to life at the fair through themed events, demonstrations, and informative exhibits. Yet, the Fiera Nazionale del Tartufo Bianco Pregiato goes far beyond showcasing truffles. It blends culinary excellence with traditional crafts, cultural exchange, and a diverse program of events. Visitors can expect a welcoming atmosphere shaped by regional cuisine, exhibitions, live music, guided tours, and hands-on workshops – all infused with the warm hospitality of the local community. A particular crowd favorite is the truffle dog competition, where humans and animals team up in a friendly contest to demonstrate their skills in finding the ""white gold"". Meanwhile, wine tours to local vineyards and inventive truffle-based dishes in the town’s restaurants offer indulgent experiences for food lovers. The fair attracts professionals from the culinary arts, agriculture, food production, hospitality, and retail sectors, as well as private visitors, travel groups, families, and gourmet travelers. Visiting the fair is not only a journey into the world of truffles but also an encounter with history and culture. Landmarks such as the Rocca Fregoso, the Angelo Mariani Theatre, ornate fountains, and historic monasteries create a striking backdrop with a unique atmosphere. The town is easily accessible by car or public transport and welcomes guests with autumnal colors, fragrant alleyways, and unmistakable charm. The Fiera Nazionale del Tartufo Bianco Pregiato is a celebration for all senses, a tribute to regional authenticity, and a shining example of how culinary excellence, sustainable values, and living traditions can come together in inspiring harmony."
Food Expo,21. - 23. October 2026,Ukraine,Kiev,IEC - International Exhibition Center,www.iffip.kiev.ua,"The ""Food Expo"", an annual international trade fair for food and beverages, takes place at the International Exhibition Center in Kyiv, Ukraine. As an integral part of the International Forum for Food Industry and Packaging (IFFIP), it has evolved into the leading platform for the food sector in Ukraine. Organized by the Kyiv International Contract Fair, it regularly brings together a multitude of manufacturers, producers, suppliers, and traders from the relevant industry. At the ""Food Expo"", national, international, and regional exhibitors offer a comprehensive range of products and services. This includes meat, fish, cheese, dairy products, coffee, tea, juices, water, cereals, baked goods, and fruits and vegetables. Special attention is given to extraordinary creations and specialties of various flavors. The fair provides international and new brands access to the Ukrainian market and supports established companies in increasing their brand recognition, generating new business, and maintaining existing business relationships. The ""Food Expo"" is closely linked with the city of Kyiv and the country of Ukraine, reflecting the cultural diversity and gastronomic wealth of the region. In addition to the product variety, various business events are highlights of the fair, promoting networking among participants and providing insights into new developments and future perspectives of the industry. Exhibitors and visitors of the ""Food Expo"" come from a variety of sectors within the food and beverage industry, including: meat and fish industry, dairy industry, beverage industry, bakery and confectionery, fruit and vegetable processing, dietary supplements and health foods, packaging industry, food technology and equipment. This wide range of sectors allows the ""Food Expo"" to present a comprehensive picture of current trends, products, and innovations in the food and beverage industry. In summary, the ""Food Expo"" plays a significant role in the food and beverage industry due to its extensive offerings and easy accessibility. The modern infrastructure of the International Exhibition Center in Kyiv further enhances the importance of this fair."
Good Food & Wine Show,23. - 25. October 2026,Australia,Brisbane,Brisbane Convention & Exhibition Center,goodfoodshow.com.au/brisbane,"The Good Food & Wine Show Brisbane is an annual culinary event that has established itself as a special highlight for food lovers and connoisseurs. Since joining the national event series in 2005, it has been held at the Brisbane Convention & Exhibition Centre (BCEC), a modern venue located in the heart of South Bank – the city’s cultural and gastronomic hub. With its excellent infrastructure and central location, the BCEC provides the perfect setting for a show that combines fine food and drink with entertainment, education, and direct encounters with producers. The show was first launched in Melbourne in 2001 and quickly developed into a nationwide success. Today, it forms part of a series of events also hosted in Sydney, Melbourne, and Perth. It is organized by Diversified Exhibitions Australia, an experienced event company specializing in both trade and consumer formats, with a focus on connecting industries, opening up markets, and showcasing innovation. The Good Food & Wine Show Brisbane appeals to both passionate consumers and industry professionals. Rather than serving primarily as a sales platform, it presents itself as a multisensory experience that celebrates food, drink, and culinary culture. At its core are the opportunities to connect directly with producers, experience culinary processes live, and gain knowledge in an engaging and entertaining way. One of the show’s main attractions is the series of live cooking demonstrations featuring well-known Australian chefs. These sessions not only showcase culinary skill but also offer audiences practical tips and personal insights into each chef’s philosophy. Another highlight is the Wine & Beverage Zone, where visitors can taste premium wines, craft beers, ciders, and spirits while speaking directly with winemakers and producers. The focus goes beyond individual products, highlighting entire wine regions such as the Barossa Valley, Margaret River, McLaren Vale, and the Granite Belt, each with its own geographic, cultural, and tourism identity. The event also features a wide selection of street food, gourmet products, cheese, chocolate, and delicacies. Guests can enhance their experience by joining paid masterclasses and workshops led by experts, covering topics such as wine pairing, cocktail making, and advanced cooking techniques. Visitors also have the chance to meet culinary personalities in person, collecting autographs and photos during post-show meet-and-greets. A distinctive element of the show is the strong involvement of food artisans and producers, who share insights into their craft, explain production processes, and communicate the philosophy behind their products. This direct exchange creates an authentic experience and emphasizes the event’s focus on quality, regional identity, and innovation. More than just a consumer fair, the Good Food & Wine Show Brisbane is an interactive celebration of taste that brings together gastronomy, learning, and entertainment at a high level – an annual highlight for anyone who not only enjoys food and drink, but also wants to understand, experience, and share them."
