전시회명,개최기간,개최국,개최도시,개최장소(베뉴),축제URL,축제소개
Mer & Vigne,18. - 20. September 2026,France,Paris,Hippodrome de Vincennes,www.mer-et-vigne.fr/nos-salons,"Mer & Vigne Paris is a celebration of the senses – a feast for gourmets that showcases the French art of living in its most indulgent form. The name ""Mer & Vigne"", derived from the French words for ""sea"" and ""vine"", captures the essence of the event: a refined union of seafood cuisine and wine culture. Twice a year, the historic Hippodrome de Vincennes in Paris transforms into a vibrant venue for fine delicacies, selected wines, and high-quality regional and European products. The event is organized by Mer & Vigne SARL, an experienced company that has dedicated itself for many years to curating high-end culinary exhibitions with passion and expertise. The fair stands out for its clear focus on fishing, agriculture, viticulture, and artisan food production. This unique combination appeals not only to discerning food lovers, but also to professionals from the hospitality industry, gastronomy, wine trade, and artisanal food sectors. Mer & Vigne Paris is more than a delicacy market. It serves as a lively platform for exchange and connection – a place where producers, artisans, and connoisseurs come together to discuss trends, innovations, and evolving tastes. The curated selection includes fresh seafood, handcrafted specialties from various French regions, rare wines, and selected European products, tailored to meet the expectations of a demanding audience. Paris, as the capital of fine taste, provides the ideal setting for this event, which is part of a nationwide series of fairs. Despite its wide reach, each Mer & Vigne edition retains a strong local character. In Paris, the Hippodrome de Vincennes, with its elegant atmosphere and convenient accessibility – by car or public transport – offers a fitting backdrop for this gastronomic gathering. A particular highlight of the fair is its competitions and awards, which recognize outstanding products and creative presentations. These accolades not only enrich the visitor experience but also underscore the event’s role as a benchmark of quality in French gastronomy. Mer & Vigne Paris is part of a broader series of exhibitions held throughout France. Each fair maintains its local identity while drawing a nationwide audience. In this way, Mer & Vigne Paris is far more than a marketplace – it is an authentic reflection of French culinary culture. It is a valuable destination for industry professionals, unique in its thematic depth, and uncompromising in its commitment to quality. For those who truly wish to taste and experience France, this event is not to be missed."
Expoalimentaria,23. - 25. September 2026,Peru,Lima,Jockey Exhibition Center,expoalimentariaperu.com,"The Expoalimentaria in Lima is a trade fair for the food, beverage, and gastronomy sectors. ""Expoalimentaria"" represents a specialist trade show that covers significant areas such as food and beverages, containers and packaging, machinery, equipment, technology and innovation, and international trade services. It is held annually in Lima, the vibrant capital of Peru, at the Jockey Exhibition Centre . The fair typically takes place in September. Since being established by the organiser, Adex, Expoalimentaria has consistently grown in significance. With its comprehensive expertise in trade fair organisation and industry knowledge, Adex aims to highlight the strengths of the Peruvian food industry on a global scale. Peru has become a prominent player in the global food industry, with agriculture at its core. The country is proud to be a ""strategic supplier to the world"", a distinction it owes to its unique microclimate, which supports a vast range of species. Peru is held in high esteem not only in South America but also globally for its competitiveness and business-friendly environment. It's essential to note Peru's leading roles in producing and exporting products like specialty coffee, cochineal, quinoa, fishmeal, fish oil, and asparagus. Expoalimentaria primarily focuses on the display of food, beverages, and culinary accessories. International exhibitors from diverse sectors attend the fair to introduce their latest products, identify new business avenues, and showcase their innovative concepts. In conclusion, the Jockey Exhibition Centre in Lima stands out not just for its state-of-the-art facilities but also for its outstanding accessibility. Seamlessly blending tradition with the future of the food industry, it offers the perfect backdrop for Expoalimentaria."
Salon CPV,28. September 2026,France,Lyon,L’Embarcadère,salon-cpv.fr,"The Salon CPV, short for ""Club of Wine Professionals,"" is a B2B fair dedicated to the deeply-rooted tradition and culture of wine. Hosted in the impressive venue of L'Embarcadère in Lyon, this annual September event attracts wine enthusiasts, experts, and aficionados from all over the world. The event is organized by IK COM, an organizer renowned for their impressive expertise in hosting such events. Furthermore, IK COM holds wine fairs in various cities like Nantes, Monaco, Strasbourg, and Bordeaux. The Salon CPV places particular emphasis on the regional and national terroirs of France, offering a perfect opportunity to explore new wine trends and engage with producers. As one of the leading wine-producing countries in the world, France views such events not just as a business opportunity but also as an extension of its rich wine culture. At the heart of the fair is the discovery, tasting, and discussion of various wines. Visitors can identify wines that might be significant for their businesses. The audience mainly consists of professionals from the gastronomy and hotel industry, wine merchants, sommeliers, and industry representatives. One of the highlights of the Salon CPV is the professional tastings where awards are also presented for outstanding wines. However, beyond competitions and accolades, it's the profound exchange between dedicated vintners and wine lovers that makes this event truly special. L'Embarcadère in Lyon not only provides an elegant and welcoming setting for this event but also impresses with its central and accessible location. It captures the typical charm of Lyon and stands as the ideal backdrop for a fair celebrating France's fine wines. In conclusion, the Salon CPV in Lyon offers an unparalleled wine experience, embodying a blend of tradition, passion, and innovation in the world of wine."
Mer & Vigne,02. - 05. October 2026,France,Eckbolsheim,Zenith De Strasbourg,www.mer-et-vigne.fr/nos-salons,"Mer & Vigne Strasbourg in Eckbolsheim is a sensory experience for anyone eager to discover and savor French gastronomy at its finest. Its name – derived from the French words Mer (sea) and Vigne (vine) – symbolically reflects the event’s two central themes: premium seafood and exquisite wines. Twice a year, the Zénith de Strasbourg in the Alsatian town of Eckbolsheim transforms into a vibrant meeting place for gourmets, culinary professionals, and producers from across Europe. Organized by Mer & Vigne Lyon, a seasoned event coordinator renowned for its commitment to quality and authenticity, the fair has earned a firm place in France’s culinary landscape. Each edition creates a platform that blends strong regional roots with an international outlook. At its core lies the harmony between artisanal food craftsmanship, sustainable agriculture, traditional fishing, and passionate viticulture. Visitors can look forward to a refined selection of delicacies—from freshly caught oysters and Breton scallops to air-dried hams and homemade foie gras, complemented by fine wines from Alsace, Burgundy, and Bordeaux. This diverse culinary offering is further enriched by specialties from other European regions, making Mer & Vigne Strasbourg a melting pot of cultural and gastronomic variety. The fair holds special significance for the Strasbourg region. It provides local producers and family-run businesses with a stage to showcase their creations to a wide audience, boosts regional tourism, and highlights the culinary richness of Alsace. A particular highlight is the award ceremonies honoring outstanding products and innovative concepts—celebrating quality, creativity, and passion. Exhibitors represent sectors such as fishing, agriculture, winemaking, and artisanal food production. Trade professionals from the hospitality, gastronomy, retail, and fine food industries meet here with discerning visitors in search of something exceptional. The result is an inspiring forum for networking, discovery, and culinary education. Mer & Vigne in Eckbolsheim is part of a successful event series held in various cities across France. Each location brings its own regional character, yet all share the same ambition: to unite Europe’s finest products on a unique marketplace for the senses. The venue, the modern and architecturally striking Zénith de Strasbourg, impresses with its excellent accessibility—whether by car, tram, or from neighboring countries. Situated in Eckbolsheim, just a few kilometers from the city center, it provides the perfect setting for a fair that captivates both mind and palate."
WineDortmund,03. - 04. October 2026,Germany,Dortmund,Westfälischer Industrieklub,www.webermesse.de/messe/wein-dortmund,"WeinDortmund is a distinguished wine fair that has established itself as an annual event for both trade professionals and the general public at the prestigious Westphalian Industrial Club in Dortmund. Organized by the experienced Webermesse GmbH, it invites guests each year on a flavorful journey through the world of wine. The focus is on red Burgundy varieties, which pair perfectly with seasonal autumn cuisine, as well as freshly bottled wines from the current vintage. Alongside new product releases, the fair also showcases the personal signatures and unique styles of the winemakers. The event is clearly curated: more than 500 wines from renowned German wine regions – including the Moselle, Nahe, Franconia, Rheinhessen, Palatinate, Baden, and Württemberg – as well as international selections from Italy, Spain, France, Austria, Australia, South Africa, and Chile are available for tasting. Visitors can engage directly with winemakers, wineries, cooperatives, and importers to gain deeper insight into the origins and philosophies behind each wine. WeinDortmund is much more than a traditional tasting event. It serves as an exclusive platform for trade professionals, upscale gastronomy, and discerning wine enthusiasts who not only sample but also place orders on site. Exhibitors from wine production, import/export, specialized retail, hospitality, and wine and beverage technology use the fair strategically to establish new business contacts, launch products, and showcase their brands in a premium environment. As part of Webermesse GmbH’s exclusive event portfolio, WeinDortmund is also held in selected cities such as Berlin, Cologne, and Munich – with each edition tailored to the local audience and regional culinary culture. The Westphalian Industrial Club offers not only an elegant and centrally located venue, but also excellent accessibility thanks to its proximity to the main train station, public transport, and convenient parking – making it easily reachable for both regional visitors and guests from across Germany. WeinDortmund combines in-depth wine expertise with urban hospitality – a must-attend event for anyone who wants to experience wine with all their senses."
kulinart,03. - 04. October 2026,Germany,Frankfurt,"Campus Westend, Casinogebäude, Goethe-Universität",www.kulinart-messe.de,"The kulinart Frankfurt is an annual public and trade fair held in autumn, established as a platform for culinary culture, sustainable food, and stylish lifestyle design. It is organized by Frankfurter Messe & Event GmbH, an experienced event organizer based in Offenbach. The venue is the Casino building on the Westend Campus of Goethe University Frankfurt – an architecturally striking location on one of the most beautiful university campuses in Europe. This elegant setting provides the ideal backdrop for an event dedicated to mindful enjoyment, regional diversity, and artisanal craftsmanship. More than just a trade fair, kulinart is a sensory experience that appeals to food lovers, amateur chefs, health-conscious visitors, and design enthusiasts alike. It showcases a carefully curated selection of high-quality foods, innovative culinary products, stylish kitchenware, and contemporary ideas for table culture and home living. At its core is a commitment to quality, sustainability, and individuality. Whether organic, fair-trade, or locally produced, conscious consumption becomes a journey of discovery. The focus is on culinary trends and authentic taste experiences. Visitors discover products rarely found in conventional retail stores: fine oils, unusual vinegars, handcrafted chocolates, unique spreads, aromatic spices, fresh truffles, rare mushrooms, and much more. The selection is complemented by exquisite wines – especially from Hessian winemakers in the Rheingau and Hessische Bergstraße regions – as well as artisanal sparkling wines and champagnes, distinctive craft beers, and fine spirits such as gin, whisky, and fruit brandies from small distilleries. A local specialty, apple wine, is also featured in a wide range of variations. A key emphasis of the fair is on regional origins and artisanal production. Many exhibitors come from Hesse or neighboring areas and present products made with attention to detail and traditional methods. From cheeses from small farm dairies to specialty sausages from family-run butcheries and individually brewed craft beers – culinary craftsmanship is on display at its finest. Kulinart also offers an interactive experience with live cooking shows, tastings, and workshops. On the show stage, renowned chefs and food bloggers share practical tips, present recipes, and invite the audience to think along, cook along, and sample their creations. Themed tasting zones and high-quality street food make the fair a place where culinary diversity can be experienced in all its forms – from quick bites to in-depth professional exchanges. Kulinart Frankfurt is a source of inspiration for anyone who values conscious enjoyment, sustainable products, and authentic cuisine – all within a refined setting that encourages personal encounters. Seamlessly combining marketplace, trade fair, and experiential event, it has earned a firm place in the region’s event calendar thanks to its clear focus on quality, local character, and craftsmanship."
Fiera Nazionale del Tartufo Bianco Pregiato,04. October 2026,Italy,Sant'Agata Feltria,Strada Provinciale Santagatese,www.prolocosantagatafeltria.com,"The “Fiera Nazionale del Tartufo Bianco Pregiato” is a nationally significant culinary and cultural fair held annually since 1985 in the picturesque town of Sant’Agata Feltria, nestled in Italy’s Emilia-Romagna region. Every October, the Strada Provinciale Santagatese and the town’s historic center are transformed into a vibrant stage for flavors, traditions, and craftsmanship. Organized by the Comune di Sant’Agata Feltria, the fair is not merely a culinary event, but a deliberate tribute to the region’s cultural roots and natural richness. Amidst medieval architecture, gourmets, producers, chefs, farmers, travelers, and truffle enthusiasts gather for a celebration of all the senses. At the heart of the event is the prized white truffle – a delicacy foraged in the surrounding woodlands with the help of specially trained dogs. Available only seasonally, this aromatic tuber is much more than a regional specialty: it is a symbol of local identity and cultural heritage. Since 2021, the art of truffle hunting and harvesting has been recognized by UNESCO as intangible cultural heritage – a status brought to life at the fair through themed events, demonstrations, and informative exhibits. Yet, the Fiera Nazionale del Tartufo Bianco Pregiato goes far beyond showcasing truffles. It blends culinary excellence with traditional crafts, cultural exchange, and a diverse program of events. Visitors can expect a welcoming atmosphere shaped by regional cuisine, exhibitions, live music, guided tours, and hands-on workshops – all infused with the warm hospitality of the local community. A particular crowd favorite is the truffle dog competition, where humans and animals team up in a friendly contest to demonstrate their skills in finding the ""white gold"". Meanwhile, wine tours to local vineyards and inventive truffle-based dishes in the town’s restaurants offer indulgent experiences for food lovers. The fair attracts professionals from the culinary arts, agriculture, food production, hospitality, and retail sectors, as well as private visitors, travel groups, families, and gourmet travelers. Visiting the fair is not only a journey into the world of truffles but also an encounter with history and culture. Landmarks such as the Rocca Fregoso, the Angelo Mariani Theatre, ornate fountains, and historic monasteries create a striking backdrop with a unique atmosphere. The town is easily accessible by car or public transport and welcomes guests with autumnal colors, fragrant alleyways, and unmistakable charm. The Fiera Nazionale del Tartufo Bianco Pregiato is a celebration for all senses, a tribute to regional authenticity, and a shining example of how culinary excellence, sustainable values, and living traditions can come together in inspiring harmony."
BBB,05. - 07. October 2026,Netherlands,Maastricht,MECC Maastricht Exhibition & Congress Center,www.bbbmaastricht.nl,"The ""BBB"" is a prestigious international trade fair for the hotel and gastronomy industry. The abbreviation BBB emphasizes the industry focus and the international nature of the fair. It takes place annually at the MECC Maastricht Exhibition & Congress Center and is organized by MECC Maastricht BV. At the fair, visitors get a comprehensive overview of products and services designed specifically for restaurant and hotel operators in the Netherlands. It particularly attracts professionals from Belgium and the Netherlands looking to inform themselves about the latest trends, innovations, and services in the industry. In addition to showcasing new and unique ingredients, exclusive wines, and champagnes, the fair also covers areas like nightlife, with a special emphasis on spirits, lighting trends, sound, and decoration. A central theme is food waste. One of the highlights is the ""Green Chef"" competition, where participants cook with fresh fruits and vegetables and create non-alcoholic cocktails. Moreover, the BBB offers a diverse program that includes master classes, demos, product presentations, tasting sessions, cooking competitions, and workshops by national and international star chefs. There are also varied lectures and award ceremonies, such as ""Best Upcoming Kitchen"" and ""Best Upcoming Service"". The majority of exhibitors come from the hotel and gastronomy sector. The main visitors are industry experts from these sectors who have the opportunity to discover and taste special beers, cocktails, and other beverages at the fair. Maastricht, as the host city, not only impresses with the modern MECC exhibition center but also with a culturally and historically shaped backdrop. This gives the fair a special flair and makes it a staple in the industry's trade fair calendar. The MECC Maastricht Exhibition & Congress Center, centrally located in Maastricht, is easily accessible. The city is also known for its hospitality and charm. A visit to the BBB fair in Maastricht is not only worthwhile but also offers an excellent opportunity to learn about current trends and innovations in the gastronomy and hotel industry."
Wine fair,09. - 18. October 2026,Switzerland,Bern,BERNEXPO,bernerweinmesse.ch/de,"The Bern Wine Fair, a combination of trade and public exhibition, has been celebrating an annual homage to the world of wines and culinary delights since its inception in 1974. Over the course of ten days, BERNEXPO, the renowned exhibition center in Bern, transforms into a paradise for wine lovers and gourmets. This exquisite event is organized by Berner Weinmesse AG. The heart of the fair is the Oenotheque, where more than 2,000 exquisite wines from around the world are showcased by expert dealers in a relaxed atmosphere. Visitors have the opportunity to engage directly with winemakers and wineries, gaining in-depth knowledge about the wines on offer. The Oenotheque provides a unique chance to discover and taste new and award-winning wine creations. Another highlight is the selection of cult wines, where exclusive and world-famous wines such as Château Mouton Rothschild and Redigaffi Toscana IGT are available for tasting. This special selection emphasizes the distinctive character of the Bern Wine Fair and offers connoisseurs deep insights into the elite of the wine world. In addition, regional delicacies, spirits, and specialty beers are featured, showcasing the culinary diversity of the region and beyond. This gastronomic offering complements the experience, allowing visitors to meet local producers in person and hear their stories. The Bern Wine Fair is not only known for its wide range of themes and highlights, but also for its focus on fostering dialogue and exchange between wine enthusiasts and producers. As a meeting and tasting venue, it provides a platform for independent winemakers, family-owned wineries, distillers, and wine cooperatives to present their latest products and recommendations to a broad audience. Throughout its long history, the Bern Wine Fair has established itself as an indispensable event on the calendar of every wine lover. The fair takes place in the impressive setting of BERNEXPO, which stands out not only for its central location but also for its modern facilities and welcoming atmosphere. Every year, this event attracts thousands of national and international visitors who share a common passion for wine and gastronomy."
Vinessio Wine Fair,10. - 11. October 2026,Germany,Erlangen,Heinrich-Lades-Halle,weinmesse-erlangen.de,"The Vinessio Wine Fair Erlangen is an annual event dedicated to wine and culinary delights. Since its debut in 2011, it has become a well-established fixture in the Franconian event calendar, attracting both private wine enthusiasts and professional visitors from the hospitality industry. The venue is the Heinrich-Lades-Halle – a modern, centrally located facility with excellent accessibility and ample parking. Every autumn, it transforms into a gathering point for the national and international wine scene. The fair is organized by assessio GmbH, an experienced company specializing in the planning and execution of high-quality gourmet events. At the heart of the fair is a carefully curated selection of domestic and international wines, complemented by spirits and fine foods such as oils, vinegars, cheeses, cured meats, and coffee. Visitors are invited not only to sample and compare these products but also to purchase directly from the producers. Personal interaction with winemakers and artisans is a key element of the event’s philosophy and is actively encouraged. A particular focus is placed on sustainability. Biodynamically produced wines form an integral part of the exhibition and reflect the forward-looking character of the event. The fair is further enriched by seminars on viticulture, sensory evaluation, and origin, which are included in the admission and offer accessible expert knowledge for both beginners and advanced attendees. Vinessio creates a link between regional roots and international ambition. It provides Franconian winemakers with a platform to present their products to a quality-conscious audience, while also welcoming renowned producers from countries such as Austria and Italy. In doing so, the fair makes a valuable contribution to positioning the region as a destination for wine and gourmet culture. Most exhibitors come from the fields of viticulture, fine foods, retail, and artisanal production. The audience includes discerning private visitors as well as professionals from gastronomy, hospitality, and trade, all looking for inspiration and networking opportunities. With its stylish setting, professional organization, and attractive location, the Vinessio Wine Fair Erlangen offers a truly special trade fair experience. More than just a calendar highlight for wine lovers, it embodies a vibrant union of enjoyment, quality, and regional identity."
